date,state,city,totalCases
17/03/2020,AC,TOTAL,3
25/02/2020,TOTAL,TOTAL,1
18/03/2020,AC,TOTAL,3
26/02/2020,TOTAL,TOTAL,1
19/03/2020,AC,TOTAL,4
27/02/2020,TOTAL,TOTAL,1
20/03/2020,AC,TOTAL,7
28/02/2020,TOTAL,TOTAL,2
21/03/2020,AC,TOTAL,11
29/02/2020,TOTAL,TOTAL,2
22/03/2020,AC,TOTAL,11
01/03/2020,TOTAL,TOTAL,2
23/03/2020,AC,TOTAL,17
02/03/2020,TOTAL,TOTAL,2
24/03/2020,AC,TOTAL,21
03/03/2020,TOTAL,TOTAL,2
25/03/2020,AC,TOTAL,23
04/03/2020,TOTAL,TOTAL,3
26/03/2020,AC,TOTAL,24
27/03/2020,AC,TOTAL,25
05/03/2020,TOTAL,TOTAL,7
28/03/2020,AC,TOTAL,25
29/03/2020,AC,TOTAL,34
30/03/2020,AC,TOTAL,42
31/03/2020,AC,TOTAL,42
06/03/2020,TOTAL,TOTAL,14
01/04/2020,AC,TOTAL,43
02/04/2020,AC,TOTAL,45
03/04/2020,AC,TOTAL,46
04/04/2020,AC,TOTAL,46
05/04/2020,AC,TOTAL,48
07/03/2020,TOTAL,TOTAL,19
06/04/2020,AC,TOTAL,50
07/04/2020,AC,TOTAL,50
08/04/2020,AC,TOTAL,58
09/04/2020,AC,TOTAL,62
10/04/2020,AC,TOTAL,70
11/04/2020,AC,TOTAL,72
12/04/2020,AC,TOTAL,77
08/03/2020,TOTAL,TOTAL,25
13/04/2020,AC,TOTAL,90
14/04/2020,AC,TOTAL,99
15/04/2020,AC,TOTAL,101
16/04/2020,AC,TOTAL,115
17/04/2020,AC,TOTAL,135
18/04/2020,AC,TOTAL,142
08/03/2020,AL,TOTAL,1
09/03/2020,TOTAL,TOTAL,25
09/03/2020,AL,TOTAL,1
10/03/2020,AL,TOTAL,1
11/03/2020,AL,TOTAL,1
12/03/2020,AL,TOTAL,1
13/03/2020,AL,TOTAL,1
14/03/2020,AL,TOTAL,1
15/03/2020,AL,TOTAL,1
16/03/2020,AL,TOTAL,1
10/03/2020,TOTAL,TOTAL,34
17/03/2020,AL,TOTAL,1
18/03/2020,AL,TOTAL,1
19/03/2020,AL,TOTAL,4
20/03/2020,AL,TOTAL,6
21/03/2020,AL,TOTAL,7
22/03/2020,AL,TOTAL,7
23/03/2020,AL,TOTAL,8
24/03/2020,AL,TOTAL,10
11/03/2020,TOTAL,TOTAL,53
25/03/2020,AL,TOTAL,11
26/03/2020,AL,TOTAL,11
27/03/2020,AL,TOTAL,12
28/03/2020,AL,TOTAL,14
29/03/2020,AL,TOTAL,17
30/03/2020,AL,TOTAL,17
31/03/2020,AL,TOTAL,18
01/04/2020,AL,TOTAL,18
02/04/2020,AL,TOTAL,18
03/04/2020,AL,TOTAL,23
04/04/2020,AL,TOTAL,23
05/04/2020,AL,TOTAL,28
06/04/2020,AL,TOTAL,31
12/03/2020,TOTAL,TOTAL,89
07/04/2020,AL,TOTAL,34
08/04/2020,AL,TOTAL,37
09/04/2020,AL,TOTAL,37
10/04/2020,AL,TOTAL,45
11/04/2020,AL,TOTAL,48
12/04/2020,AL,TOTAL,48
13/04/2020,AL,TOTAL,58
14/04/2020,AL,TOTAL,72
15/04/2020,AL,TOTAL,83
16/04/2020,AL,TOTAL,89
17/04/2020,AL,TOTAL,110
18/04/2020,AL,TOTAL,132
13/03/2020,AM,TOTAL,2
14/03/2020,AM,TOTAL,2
13/03/2020,TOTAL,TOTAL,106
15/03/2020,AM,TOTAL,2
16/03/2020,AM,TOTAL,2
17/03/2020,AM,TOTAL,2
18/03/2020,AM,TOTAL,2
19/03/2020,AM,TOTAL,3
20/03/2020,AM,TOTAL,7
21/03/2020,AM,TOTAL,11
22/03/2020,AM,TOTAL,26
23/03/2020,AM,TOTAL,32
24/03/2020,AM,TOTAL,47
25/03/2020,AM,TOTAL,54
26/03/2020,AM,TOTAL,67
27/03/2020,AM,TOTAL,81
28/03/2020,AM,TOTAL,111
29/03/2020,AM,TOTAL,140
30/03/2020,AM,TOTAL,151
14/03/2020,TOTAL,TOTAL,142
31/03/2020,AM,TOTAL,175
01/04/2020,AM,TOTAL,200
02/04/2020,AM,TOTAL,229
03/04/2020,AM,TOTAL,260
04/04/2020,AM,TOTAL,311
05/04/2020,AM,TOTAL,417
06/04/2020,AM,TOTAL,532
07/04/2020,AM,TOTAL,636
08/04/2020,AM,TOTAL,804
09/04/2020,AM,TOTAL,899
10/04/2020,AM,TOTAL,981
11/04/2020,AM,TOTAL,1050
12/04/2020,AM,TOTAL,1206
13/04/2020,AM,TOTAL,1275
14/04/2020,AM,TOTAL,1484
15/04/2020,AM,TOTAL,1554
15/03/2020,TOTAL,TOTAL,225
16/04/2020,AM,TOTAL,1719
17/04/2020,AM,TOTAL,1809
18/04/2020,AM,TOTAL,1897
20/03/2020,AP,TOTAL,1
21/03/2020,AP,TOTAL,1
22/03/2020,AP,TOTAL,1
23/03/2020,AP,TOTAL,1
24/03/2020,AP,TOTAL,1
25/03/2020,AP,TOTAL,2
26/03/2020,AP,TOTAL,2
27/03/2020,AP,TOTAL,3
28/03/2020,AP,TOTAL,4
29/03/2020,AP,TOTAL,8
30/03/2020,AP,TOTAL,8
31/03/2020,AP,TOTAL,10
01/04/2020,AP,TOTAL,11
02/04/2020,AP,TOTAL,12
16/03/2020,TOTAL,TOTAL,279
03/04/2020,AP,TOTAL,19
04/04/2020,AP,TOTAL,29
05/04/2020,AP,TOTAL,32
06/04/2020,AP,TOTAL,39
07/04/2020,AP,TOTAL,51
08/04/2020,AP,TOTAL,107
09/04/2020,AP,TOTAL,128
10/04/2020,AP,TOTAL,166
11/04/2020,AP,TOTAL,193
12/04/2020,AP,TOTAL,237
13/04/2020,AP,TOTAL,244
14/04/2020,AP,TOTAL,308
15/04/2020,AP,TOTAL,340
16/04/2020,AP,TOTAL,362
17/04/2020,AP,TOTAL,375
18/04/2020,AP,TOTAL,400
06/03/2020,BA,TOTAL,1
07/03/2020,BA,TOTAL,2
17/03/2020,TOTAL,TOTAL,333
08/03/2020,BA,TOTAL,2
09/03/2020,BA,TOTAL,2
10/03/2020,BA,TOTAL,2
11/03/2020,BA,TOTAL,3
12/03/2020,BA,TOTAL,3
13/03/2020,BA,TOTAL,7
14/03/2020,BA,TOTAL,7
15/03/2020,BA,TOTAL,9
16/03/2020,BA,TOTAL,10
17/03/2020,BA,TOTAL,14
18/03/2020,BA,TOTAL,27
19/03/2020,BA,TOTAL,31
20/03/2020,BA,TOTAL,34
21/03/2020,BA,TOTAL,41
22/03/2020,BA,TOTAL,55
23/03/2020,BA,TOTAL,63
24/03/2020,BA,TOTAL,79
25/03/2020,BA,TOTAL,91
26/03/2020,BA,TOTAL,108
27/03/2020,BA,TOTAL,123
28/03/2020,BA,TOTAL,127
18/03/2020,TOTAL,TOTAL,514
29/03/2020,BA,TOTAL,156
30/03/2020,BA,TOTAL,176
31/03/2020,BA,TOTAL,217
01/04/2020,BA,TOTAL,246
02/04/2020,BA,TOTAL,267
03/04/2020,BA,TOTAL,290
04/04/2020,BA,TOTAL,336
05/04/2020,BA,TOTAL,401
06/04/2020,BA,TOTAL,437
07/04/2020,BA,TOTAL,462
08/04/2020,BA,TOTAL,515
09/04/2020,BA,TOTAL,568
10/04/2020,BA,TOTAL,616
11/04/2020,BA,TOTAL,640
12/04/2020,BA,TOTAL,674
13/04/2020,BA,TOTAL,723
14/04/2020,BA,TOTAL,776
15/04/2020,BA,TOTAL,884
16/04/2020,BA,TOTAL,967
17/04/2020,BA,TOTAL,1064
18/04/2020,BA,TOTAL,1200
16/03/2020,CE,TOTAL,9
19/03/2020,TOTAL,TOTAL,639
17/03/2020,CE,TOTAL,10
18/03/2020,CE,TOTAL,19
19/03/2020,CE,TOTAL,20
20/03/2020,CE,TOTAL,68
21/03/2020,CE,TOTAL,84
22/03/2020,CE,TOTAL,125
23/03/2020,CE,TOTAL,164
24/03/2020,CE,TOTAL,185
25/03/2020,CE,TOTAL,211
26/03/2020,CE,TOTAL,237
27/03/2020,CE,TOTAL,282
28/03/2020,CE,TOTAL,322
29/03/2020,CE,TOTAL,359
30/03/2020,CE,TOTAL,382
31/03/2020,CE,TOTAL,401
01/04/2020,CE,TOTAL,445
02/04/2020,CE,TOTAL,565
03/04/2020,CE,TOTAL,658
04/04/2020,CE,TOTAL,745
05/04/2020,CE,TOTAL,963
06/04/2020,CE,TOTAL,1046
07/04/2020,CE,TOTAL,1189
08/04/2020,CE,TOTAL,1394
09/04/2020,CE,TOTAL,1445
10/04/2020,CE,TOTAL,1558
11/04/2020,CE,TOTAL,1668
20/03/2020,TOTAL,TOTAL,972
12/04/2020,CE,TOTAL,1747
13/04/2020,CE,TOTAL,1936
14/04/2020,CE,TOTAL,2072
15/04/2020,CE,TOTAL,2292
16/04/2020,CE,TOTAL,2412
17/04/2020,CE,TOTAL,2747
18/04/2020,CE,TOTAL,3062
07/03/2020,DF,TOTAL,1
08/03/2020,DF,TOTAL,1
09/03/2020,DF,TOTAL,1
10/03/2020,DF,TOTAL,1
11/03/2020,DF,TOTAL,2
12/03/2020,DF,TOTAL,2
13/03/2020,DF,TOTAL,2
14/03/2020,DF,TOTAL,8
15/03/2020,DF,TOTAL,14
16/03/2020,DF,TOTAL,19
17/03/2020,DF,TOTAL,22
18/03/2020,DF,TOTAL,34
19/03/2020,DF,TOTAL,42
20/03/2020,DF,TOTAL,87
21/03/2020,DF,TOTAL,108
22/03/2020,DF,TOTAL,117
23/03/2020,DF,TOTAL,138
24/03/2020,DF,TOTAL,161
25/03/2020,DF,TOTAL,191
26/03/2020,DF,TOTAL,201
21/03/2020,TOTAL,TOTAL,1197
27/03/2020,DF,TOTAL,241
28/03/2020,DF,TOTAL,260
29/03/2020,DF,TOTAL,298
30/03/2020,DF,TOTAL,312
31/03/2020,DF,TOTAL,333
01/04/2020,DF,TOTAL,370
02/04/2020,DF,TOTAL,400
03/04/2020,DF,TOTAL,419
04/04/2020,DF,TOTAL,456
05/04/2020,DF,TOTAL,468
06/04/2020,DF,TOTAL,485
07/04/2020,DF,TOTAL,503
08/04/2020,DF,TOTAL,509
09/04/2020,DF,TOTAL,527
10/04/2020,DF,TOTAL,556
11/04/2020,DF,TOTAL,592
12/04/2020,DF,TOTAL,618
13/04/2020,DF,TOTAL,641
14/04/2020,DF,TOTAL,651
15/04/2020,DF,TOTAL,688
16/04/2020,DF,TOTAL,727
17/04/2020,DF,TOTAL,756
18/04/2020,DF,TOTAL,814
06/03/2020,ES,TOTAL,1
07/03/2020,ES,TOTAL,1
08/03/2020,ES,TOTAL,1
09/03/2020,ES,TOTAL,1
22/03/2020,TOTAL,TOTAL,1594
10/03/2020,ES,TOTAL,1
11/03/2020,ES,TOTAL,1
12/03/2020,ES,TOTAL,1
13/03/2020,ES,TOTAL,1
14/03/2020,ES,TOTAL,1
15/03/2020,ES,TOTAL,1
16/03/2020,ES,TOTAL,1
17/03/2020,ES,TOTAL,1
18/03/2020,ES,TOTAL,9
19/03/2020,ES,TOTAL,13
20/03/2020,ES,TOTAL,16
21/03/2020,ES,TOTAL,26
22/03/2020,ES,TOTAL,26
23/03/2020,ES,TOTAL,33
24/03/2020,ES,TOTAL,40
25/03/2020,ES,TOTAL,40
26/03/2020,ES,TOTAL,48
27/03/2020,ES,TOTAL,54
28/03/2020,ES,TOTAL,61
29/03/2020,ES,TOTAL,72
30/03/2020,ES,TOTAL,85
31/03/2020,ES,TOTAL,97
01/04/2020,ES,TOTAL,120
02/04/2020,ES,TOTAL,139
03/04/2020,ES,TOTAL,153
04/04/2020,ES,TOTAL,166
05/04/2020,ES,TOTAL,194
23/03/2020,TOTAL,TOTAL,1952
06/04/2020,ES,TOTAL,209
07/04/2020,ES,TOTAL,227
08/04/2020,ES,TOTAL,273
09/04/2020,ES,TOTAL,300
10/04/2020,ES,TOTAL,349
11/04/2020,ES,TOTAL,383
12/04/2020,ES,TOTAL,430
13/04/2020,ES,TOTAL,463
14/04/2020,ES,TOTAL,557
15/04/2020,ES,TOTAL,734
16/04/2020,ES,TOTAL,935
17/04/2020,ES,TOTAL,952
18/04/2020,ES,TOTAL,1099
12/03/2020,GO,TOTAL,3
13/03/2020,GO,TOTAL,3
14/03/2020,GO,TOTAL,4
15/03/2020,GO,TOTAL,4
16/03/2020,GO,TOTAL,9
17/03/2020,GO,TOTAL,10
18/03/2020,GO,TOTAL,12
19/03/2020,GO,TOTAL,15
20/03/2020,GO,TOTAL,18
21/03/2020,GO,TOTAL,20
22/03/2020,GO,TOTAL,21
23/03/2020,GO,TOTAL,23
24/03/2020,GO,TOTAL,29
25/03/2020,GO,TOTAL,35
24/03/2020,TOTAL,TOTAL,2255
26/03/2020,GO,TOTAL,39
27/03/2020,GO,TOTAL,49
28/03/2020,GO,TOTAL,56
29/03/2020,GO,TOTAL,58
30/03/2020,GO,TOTAL,61
31/03/2020,GO,TOTAL,65
01/04/2020,GO,TOTAL,73
02/04/2020,GO,TOTAL,73
03/04/2020,GO,TOTAL,88
04/04/2020,GO,TOTAL,103
05/04/2020,GO,TOTAL,115
06/04/2020,GO,TOTAL,119
07/04/2020,GO,TOTAL,133
08/04/2020,GO,TOTAL,159
09/04/2020,GO,TOTAL,179
10/04/2020,GO,TOTAL,191
11/04/2020,GO,TOTAL,209
12/04/2020,GO,TOTAL,229
13/04/2020,GO,TOTAL,233
14/04/2020,GO,TOTAL,284
15/04/2020,GO,TOTAL,304
16/04/2020,GO,TOTAL,318
17/04/2020,GO,TOTAL,335
18/04/2020,GO,TOTAL,378
20/03/2020,MA,TOTAL,1
21/03/2020,MA,TOTAL,2
22/03/2020,MA,TOTAL,2
25/03/2020,TOTAL,TOTAL,2562
23/03/2020,MA,TOTAL,8
24/03/2020,MA,TOTAL,8
25/03/2020,MA,TOTAL,8
26/03/2020,MA,TOTAL,10
27/03/2020,MA,TOTAL,13
28/03/2020,MA,TOTAL,15
29/03/2020,MA,TOTAL,21
30/03/2020,MA,TOTAL,30
31/03/2020,MA,TOTAL,51
01/04/2020,MA,TOTAL,70
02/04/2020,MA,TOTAL,80
03/04/2020,MA,TOTAL,87
04/04/2020,MA,TOTAL,95
05/04/2020,MA,TOTAL,132
06/04/2020,MA,TOTAL,171
07/04/2020,MA,TOTAL,229
08/04/2020,MA,TOTAL,272
09/04/2020,MA,TOTAL,293
10/04/2020,MA,TOTAL,344
11/04/2020,MA,TOTAL,398
12/04/2020,MA,TOTAL,445
13/04/2020,MA,TOTAL,478
14/04/2020,MA,TOTAL,630
15/04/2020,MA,TOTAL,695
16/04/2020,MA,TOTAL,797
17/04/2020,MA,TOTAL,1040
18/04/2020,MA,TOTAL,1205
26/03/2020,TOTAL,TOTAL,2990
08/03/2020,MG,TOTAL,1
09/03/2020,MG,TOTAL,1
10/03/2020,MG,TOTAL,1
11/03/2020,MG,TOTAL,1
12/03/2020,MG,TOTAL,2
13/03/2020,MG,TOTAL,2
14/03/2020,MG,TOTAL,4
15/03/2020,MG,TOTAL,4
16/03/2020,MG,TOTAL,6
17/03/2020,MG,TOTAL,14
18/03/2020,MG,TOTAL,19
19/03/2020,MG,TOTAL,29
20/03/2020,MG,TOTAL,38
21/03/2020,MG,TOTAL,54
22/03/2020,MG,TOTAL,83
23/03/2020,MG,TOTAL,128
24/03/2020,MG,TOTAL,130
25/03/2020,MG,TOTAL,133
26/03/2020,MG,TOTAL,153
27/03/2020,MG,TOTAL,189
28/03/2020,MG,TOTAL,205
29/03/2020,MG,TOTAL,231
30/03/2020,MG,TOTAL,261
31/03/2020,MG,TOTAL,275
01/04/2020,MG,TOTAL,314
02/04/2020,MG,TOTAL,370
03/04/2020,MG,TOTAL,397
27/03/2020,TOTAL,TOTAL,3476
04/04/2020,MG,TOTAL,430
05/04/2020,MG,TOTAL,498
06/04/2020,MG,TOTAL,525
07/04/2020,MG,TOTAL,559
08/04/2020,MG,TOTAL,614
09/04/2020,MG,TOTAL,655
10/04/2020,MG,TOTAL,698
11/04/2020,MG,TOTAL,750
12/04/2020,MG,TOTAL,806
13/04/2020,MG,TOTAL,815
14/04/2020,MG,TOTAL,884
15/04/2020,MG,TOTAL,903
16/04/2020,MG,TOTAL,958
17/04/2020,MG,TOTAL,1021
18/04/2020,MG,TOTAL,1077
14/03/2020,MS,TOTAL,2
15/03/2020,MS,TOTAL,2
16/03/2020,MS,TOTAL,4
17/03/2020,MS,TOTAL,6
18/03/2020,MS,TOTAL,7
19/03/2020,MS,TOTAL,9
20/03/2020,MS,TOTAL,12
21/03/2020,MS,TOTAL,16
22/03/2020,MS,TOTAL,21
23/03/2020,MS,TOTAL,21
24/03/2020,MS,TOTAL,24
25/03/2020,MS,TOTAL,24
28/03/2020,TOTAL,TOTAL,3955
26/03/2020,MS,TOTAL,25
27/03/2020,MS,TOTAL,28
28/03/2020,MS,TOTAL,31
29/03/2020,MS,TOTAL,36
30/03/2020,MS,TOTAL,44
31/03/2020,MS,TOTAL,48
01/04/2020,MS,TOTAL,51
02/04/2020,MS,TOTAL,53
03/04/2020,MS,TOTAL,60
04/04/2020,MS,TOTAL,62
05/04/2020,MS,TOTAL,65
06/04/2020,MS,TOTAL,66
07/04/2020,MS,TOTAL,80
08/04/2020,MS,TOTAL,85
09/04/2020,MS,TOTAL,89
10/04/2020,MS,TOTAL,97
11/04/2020,MS,TOTAL,100
12/04/2020,MS,TOTAL,101
13/04/2020,MS,TOTAL,113
14/04/2020,MS,TOTAL,115
15/04/2020,MS,TOTAL,121
16/04/2020,MS,TOTAL,131
17/04/2020,MS,TOTAL,143
18/04/2020,MS,TOTAL,161
20/03/2020,MT,TOTAL,1
21/03/2020,MT,TOTAL,2
22/03/2020,MT,TOTAL,2
29/03/2020,TOTAL,TOTAL,4313
23/03/2020,MT,TOTAL,6
24/03/2020,MT,TOTAL,7
25/03/2020,MT,TOTAL,9
26/03/2020,MT,TOTAL,11
27/03/2020,MT,TOTAL,11
28/03/2020,MT,TOTAL,13
29/03/2020,MT,TOTAL,16
30/03/2020,MT,TOTAL,18
31/03/2020,MT,TOTAL,25
01/04/2020,MT,TOTAL,28
02/04/2020,MT,TOTAL,41
03/04/2020,MT,TOTAL,44
04/04/2020,MT,TOTAL,60
05/04/2020,MT,TOTAL,60
06/04/2020,MT,TOTAL,76
07/04/2020,MT,TOTAL,78
08/04/2020,MT,TOTAL,90
09/04/2020,MT,TOTAL,108
10/04/2020,MT,TOTAL,112
11/04/2020,MT,TOTAL,121
12/04/2020,MT,TOTAL,123
13/04/2020,MT,TOTAL,134
14/04/2020,MT,TOTAL,138
15/04/2020,MT,TOTAL,151
16/04/2020,MT,TOTAL,156
17/04/2020,MT,TOTAL,162
18/04/2020,MT,TOTAL,171
30/03/2020,TOTAL,TOTAL,4663
18/03/2020,PA,TOTAL,1
19/03/2020,PA,TOTAL,1
20/03/2020,PA,TOTAL,2
21/03/2020,PA,TOTAL,2
22/03/2020,PA,TOTAL,4
23/03/2020,PA,TOTAL,5
