1,1.982229402,,,,,,
1,2.562197092,,day,n,a,b,c
1,3.216478191,,24/03/2020,1,1.982229402,2.562197092,3.216478191
1.977777778,1.911147011,,25/03/2020,2,1.911147011,2.403877221,2.940226171
1.977777778,2.403877221,,26/03/2020,3,2.271405493,1.859450727,2.723747981
2,2.940226171,,27/03/2020,4,2.71082391,1.936995153,2.30371567
2.977777778,2.271405493,,28/03/2020,5,2.053311793,2.744749596,2.387722132
3,1.859450727,,29/03/2020,6,1.861066236,2.132471729,2.423263328
3,2.723747981,,30/03/2020,7,2.239095315,2.484652666,2.016155089
3.777777778,2.71082391,,31/03/2020,8,2.1453958,1.936995153,2.340872375
3.777777778,1.936995153,,01/04/2020,9,1.949919225,2.114701131,2.302100162
3.777777778,2.30371567,,02/04/2020,10,1.951534733,2.266558966,2.10177706
4.666666667,2.053311793,,03/04/2020,11,2.030694669,1.899838449,2.161550889
4.666666667,2.744749596,,04/04/2020,12,1.780290792,2.012924071,1.901453958
4.688888889,2.387722132,,05/04/2020,13,1.780290792,1.68174475,1.591276252
5.844444444,1.861066236,,06/04/2020,14,1.660743134,1.581583199,1.500807754
5.888888889,2.132471729,,07/04/2020,15,1.418416801,1.49273021,1.571890145
5.888888889,2.423263328,,08/04/2020,16,1.407108239,1.491114701,1.353796446
7.533333333,2.239095315,,09/04/2020,17,1.399030695,1.466882068,1.528271405
7.533333333,2.484652666,,10/04/2020,18,1.474959612,1.407108239,1.34733441
7.533333333,2.016155089,,11/04/2020,19,1.421647819,1.306946688,1.373182553
8.444444444,2.1453958,,12/04/2020,20,1.279483037,1.329563813,1.37641357
8.444444444,1.936995153,,13/04/2020,21,1.245557351,1.337641357,1.290791599
8.466666667,2.340872375,,14/04/2020,22,1.336025848,1.234248788,1.279483037
9.6,1.949919225,,15/04/2020,23,1.340872375,1.298869144,1.245557351
9.6,2.114701131,,16/04/2020,24,1.352180937,1.395799677,1.300484653
9.622222222,2.302100162,,17/04/2020,25,1.371567044,1.329563813,1.423263328
10.75555556,1.951534733,,18/04/2020,26,1.273021002,1.386106624,1.313408724
10.77777778,2.266558966,,19/04/2020,27,1.33279483,1.378029079,1.28917609
10.77777778,2.10177706,,20/04/2020,28,1.327948304,1.374798061,1.282714055
11.97777778,2.030694669,,21/04/2020,29,1.34733441,1.30371567,1.389337641
11.97777778,1.899838449,,22/04/2020,30,1.386106624,1.468497577,1.428109855
12,2.161550889,,23/04/2020,31,1.444264943,1.487883683,1.529886914
13.15555556,1.780290792,,24/04/2020,32,1.563812601,1.525040388,1.473344103
13.15555556,2.012924071,,25/04/2020,33,1.510500808,1.55088853,1.479806139
13.15555556,1.901453958,,26/04/2020,34,1.571890145,1.610662359,1.529886914
14.86666667,1.780290792,,27/04/2020,35,1.534733441,1.610662359,1.570274637
14.88888889,1.68174475,,28/04/2020,36,1.523424879,1.602584814,1.560581583
14.88888889,1.591276252,,29/04/2020,37,1.516962843,1.55088853,1.589660743
16.08888889,1.660743134,,30/04/2020,38,1.518578352,1.554119548,1.588045234
16.08888889,1.581583199,,01/05/2020,39,1.502423263,1.525040388,1.552504039
16.08888889,1.500807754,,02/05/2020,40,1.533117932,1.505654281,1.563812601
17.24444444,1.418416801,,03/05/2020,41,1.526655897,1.588045234,1.555735057
17.26666667,1.49273021,,04/05/2020,42,1.610662359,1.584814216,1.557350565
17.26666667,1.571890145,,05/05/2020,43,1.583198708,1.610662359,1.552504039
18.97777778,1.407108239,,06/05/2020,44,1.615508885,1.634894992,1.59450727
18.97777778,1.491114701,,07/05/2020,45,1.694668821,1.675282714,1.660743134
18.97777778,1.353796446,,08/05/2020,46,1.715670436,1.738287561,1.757673667
20.2,1.399030695,,09/05/2020,47,1.738287561,1.764135703,1.712439418
20.2,1.466882068,,10/05/2020,48,1.688206785,1.707592892,1.728594507
20.2,1.528271405,,11/05/2020,49,1.625201939,1.605815832,1.644588045
21.37777778,1.474959612,,12/05/2020,50,1.523424879,1.537964459,1.554119548
21.37777778,1.407108239,,13/05/2020,51,1.479806139,1.494345719,1.465266559
21.37777778,1.34733441,,14/05/2020,52,1.423263328,1.453957997,1.439418417
22.57777778,1.421647819,,15/05/2020,53,1.450726979,1.473344103,1.494345719
22.57777778,1.306946688,,16/05/2020,54,1.453957997,1.468497577,1.483037157
22.6,1.373182553,,17/05/2020,55,1.411954766,1.428109855,1.444264943
23.71111111,1.279483037,,18/05/2020,56,1.386106624,1.413570275,1.399030695
23.71111111,1.329563813,,19/05/2020,57,1.371567044,1.387722132,1.402261712
23.71111111,1.37641357,,20/05/2020,58,1.395799677,1.424878837,1.411954766
24.86666667,1.245557351,,21/05/2020,59,1.431340872,1.415185784,1.400646204
24.86666667,1.337641357,,22/05/2020,60,1.389337641,1.403877221,1.421647819
24.86666667,1.290791599,,23/05/2020,61,1.352180937,1.366720517,1.386106624
26.11111111,1.336025848,,24/05/2020,62,1.31825525,1.331179321,1.344103393
26.11111111,1.234248788,,,,,,
26.13333333,1.279483037,,,,,,
27.24444444,1.340872375,,,,,,
27.24444444,1.298869144,,,,,,
27.26666667,1.245557351,,,,,,
28.46666667,1.352180937,,,,,,
28.46666667,1.395799677,,,,,,
28.46666667,1.300484653,,,,,,
29.55555556,1.371567044,,,,,,
29.57777778,1.329563813,,,,,,
29.6,1.423263328,,,,,,
30.95555556,1.273021002,,,,,,
30.95555556,1.386106624,,,,,,
30.97777778,1.313408724,,,,,,
32.04444444,1.33279483,,,,,,
32.04444444,1.378029079,,,,,,
32.04444444,1.28917609,,,,,,
33.17777778,1.327948304,,,,,,
33.17777778,1.374798061,,,,,,
33.17777778,1.282714055,,,,,,
34.28888889,1.34733441,,,,,,
34.31111111,1.30371567,,,,,,
34.31111111,1.389337641,,,,,,
35.46666667,1.386106624,,,,,,
35.46666667,1.468497577,,,,,,
35.46666667,1.428109855,,,,,,
36.64444444,1.444264943,,,,,,
36.64444444,1.487883683,,,,,,
36.64444444,1.529886914,,,,,,
37.8,1.563812601,,,,,,
37.8,1.525040388,,,,,,
37.82222222,1.473344103,,,,,,
39.02222222,1.510500808,,,,,,
39.02222222,1.55088853,,,,,,
39.02222222,1.479806139,,,,,,
40.17777778,1.571890145,,,,,,
40.17777778,1.610662359,,,,,,
40.17777778,1.529886914,,,,,,
41.33333333,1.534733441,,,,,,
41.35555556,1.610662359,,,,,,
41.35555556,1.570274637,,,,,,
42.51111111,1.523424879,,,,,,
42.51111111,1.602584814,,,,,,
42.53333333,1.560581583,,,,,,
43.68888889,1.516962843,,,,,,
43.68888889,1.55088853,,,,,,
43.68888889,1.589660743,,,,,,
44.88888889,1.518578352,,,,,,
44.88888889,1.554119548,,,,,,
44.91111111,1.588045234,,,,,,
46.02222222,1.502423263,,,,,,
46.02222222,1.525040388,,,,,,
46.02222222,1.552504039,,,,,,
47.22222222,1.533117932,,,,,,
47.22222222,1.505654281,,,,,,
47.24444444,1.563812601,,,,,,
48.44444444,1.526655897,,,,,,
48.44444444,1.588045234,,,,,,
48.44444444,1.555735057,,,,,,
49.46666667,1.610662359,,,,,,
49.48888889,1.584814216,,,,,,
49.48888889,1.557350565,,,,,,
50.73333333,1.583198708,,,,,,
50.73333333,1.610662359,,,,,,
50.73333333,1.552504039,,,,,,
51.95555556,1.615508885,,,,,,
51.95555556,1.634894992,,,,,,
51.95555556,1.59450727,,,,,,
53.11111111,1.694668821,,,,,,
53.13333333,1.675282714,,,,,,
53.13333333,1.660743134,,,,,,
54.28888889,1.715670436,,,,,,
54.28888889,1.738287561,,,,,,
54.28888889,1.757673667,,,,,,
55.48888889,1.738287561,,,,,,
55.48888889,1.764135703,,,,,,
55.51111111,1.712439418,,,,,,
56.62222222,1.688206785,,,,,,
56.62222222,1.707592892,,,,,,
56.62222222,1.728594507,,,,,,
57.82222222,1.625201939,,,,,,
57.82222222,1.605815832,,,,,,
57.84444444,1.644588045,,,,,,
58.95555556,1.523424879,,,,,,
58.95555556,1.537964459,,,,,,
58.95555556,1.554119548,,,,,,
60.17777778,1.479806139,,,,,,
60.17777778,1.494345719,,,,,,
60.17777778,1.465266559,,,,,,
61.28888889,1.423263328,,,,,,
61.28888889,1.453957997,,,,,,
61.28888889,1.439418417,,,,,,
62.6,1.450726979,,,,,,
62.6,1.473344103,,,,,,
62.6,1.494345719,,,,,,
63.42222222,1.453957997,,,,,,
63.42222222,1.468497577,,,,,,
63.42222222,1.483037157,,,,,,
64.88888889,1.411954766,,,,,,
64.88888889,1.428109855,,,,,,
64.88888889,1.444264943,,,,,,
66.22222222,1.386106624,,,,,,
66.22222222,1.413570275,,,,,,
66.22222222,1.399030695,,,,,,
67.33333333,1.371567044,,,,,,
67.33333333,1.387722132,,,,,,
67.33333333,1.402261712,,,,,,
68.64444444,1.395799677,,,,,,
68.64444444,1.424878837,,,,,,
68.64444444,1.411954766,,,,,,
69.8,1.431340872,,,,,,
69.8,1.415185784,,,,,,
69.82222222,1.400646204,,,,,,
70.71111111,1.389337641,,,,,,
70.71111111,1.403877221,,,,,,
70.71111111,1.421647819,,,,,,
71.71111111,1.352180937,,,,,,
71.71111111,1.366720517,,,,,,
71.71111111,1.386106624,,,,,,
72.53333333,1.31825525,,,,,,
72.53333333,1.331179321,,,,,,
72.53333333,1.344103393,,,,,,